cle,Respondent_ID,weight,A9_1_slice,A9_2_slice,A9_3_slice,A9_4_slice,A9_5_slice,A9_6_slice,A9_7_slice,A9_8_slice,A9_9_slice,A9_10_slice,A9_11_slice,A9_12_slice,A9_13_slice,A9_14_slice,A9_15_slice,A9_16_slice,A10_1_slice,A10_2_slice,A10_3_slice,A10_4_slice,A10_5_slice,A10_6_slice,A10_7_slice,A10_8_slice,A11_1_slice,A11_2_slice,A11_3_slice,A11_4_slice,A11_5_slice,A11_6_slice,A11_7_slice,A11_8_slice,A11_9_slice,A11_10_slice,A11_11_slice,A11_12_slice,A11_13_slice,cluster
837,MET20_7018601,0.9965400009,3,4,4,4,1,2,3,3,4,4,2,3,4,2,3,3,1,2,4,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1
838,MET20_1389034,0.7980860057,1,2,2,2,2,1,2,2,1,2,1,3,2,2,2,2,2,2,2,2,2,3,3,2,2,2,2,2,2,2,2,1,3,2,1,2,2,0
839,MET20_1046692,0.7980860057,2,2,2,2,2,2,2,2,3,2,1,3,2,2,2,2,2,2,3,3,2,3,2,4,2,2,2,3,2,3,2,2,3,1,2,2,3,0
840,MET20_968505,0.8937904533,2,3,2,3,3,2,2,2,1,3,2,2,2,2,2,3,3,2,3,2,2,3,2,2,2,1,1,2,2,1,3,2,3,2,2,2,2,0
841,MET20_1780133,1.0946952712,3,3,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,0
842,MET20_1225725,0.7397234366,2,2,2,2,3,3,2,2,3,2,1,3,2,2,2,2,2,1,2,2,2,3,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,0
843,MET20_7003742,0.6228209308,2,2,2,2,3,3,3,2,2,2,2,3,2,2,2,3,2,2,2,2,2,3,2,3,2,2,2,2,2,3,2,2,2,2,2,2,3,0
844,MET20_1200471,0.837901566,2,2,2,3,2,2,2,2,1,3,2,3,2,3,2,1,2,2,2,2,2,2,2,1,2,2,2,3,2,2,2,2,3,2,2,2,2,0
845,MET20_7003556,0.9463951981,2,1,2,3,4,3,3,2,2,2,2,2,4,1,1,3,2,1,3,2,1,4,3,2,1,1,1,2,2,1,1,1,1,1,3,2,2,3
846,MET20_7018305,1.161725334,1,2,2,3,3,2,3,3,1,1,1,2,1,2,2,1,2,2,3,1,2,1,2,2,2,2,2,2,3,2,2,2,1,2,1,2,2,0
847,MET20_7001672,0.9643085747,2,3,3,3,3,3,4,3,2,3,3,3,2,2,2,4,2,2,3,3,2,3,2,4,2,2,2,1,2,2,3,3,4,3,4,2,4,1
848,MET20_1829989,0.6947629021,1,3,2,2,3,2,1,1,2,1,1,3,2,2,1,3,1,2,3,2,1,4,2,2,2,2,3,2,2,2,2,3,3,2,2,2,2,0
849,MET20_7009433,0.837901566,2,2,1,2,2,2,3,4,1,2,1,4,1,1,2,2,1,2,1,1,1,4,1,1,1,1,1,2,1,2,1,2,2,1,2,1,2,3
850,MET20_1036818,0.7980860057,3,2,2,4,4,2,4,3,2,2,3,3,3,2,2,3,2,2,3,2,2,2,2,3,2,3,2,3,3,3,3,3,3,2,2,3,2,1
851,MET20_608522,0.598301777,3,3,2,2,3,3,3,3,2,3,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,1,2,2,2,0
852,MET20_945692,1.012416781,2,3,4,4,4,2,4,3,2,3,3,3,4,2,2,3,2,1,3,2,2,3,2,3,1,1,2,2,2,1,1,1,3,3,2,2,2,1
853,MET20_7001628,1.0396114026,2,3,3,2,1,2,4,2,1,3,2,3,4,2,3,2,2,1,3,2,2,3,2,2,1,1,1,3,1,1,1,2,2,2,2,1,2,0
854,MET20_463085,0.7229139838,1,2,1,2,3,2,2,1,1,1,1,3,2,2,2,1,2,2,2,2,2,3,2,2,2,2,1,2,1,1,2,1,2,1,2,1,2,3
855,MET20_7000236,0.7229139838,2,2,2,2,3,2,2,3,1,2,2,3,2,2,2,4,2,2,3,2,2,3,2,3,3,2,3,2,3,2,3,3,4,3,2,3,3,1
856,MET20_1085103,0.8394656956,4,4,4,4,3,2,3,3,3,2,1,3,3,2,4,4,1,1,1,1,1,2,4,1,1,1,1,1,1,1,1,2,3,1,1,1,1,0
857,MET20_958588,0.7980860057,4,2,2,2,2,2,2,4,2,2,4,4,4,2,3,3,2,2,2,3,2,2,2,4,2,3,3,3,3,1,2,1,3,3,3,2,4,1
858,MET20_1168198,0.6327436544,2,2,2,2,3,2,3,2,2,2,2,3,2,2,2,2,2,2,3,2,1,3,2,3,2,2,2,2,2,3,2,2,2,2,3,2,2,0
859,MET20_1979057,0.9463951981,2,3,3,2,2,2,1,2,1,2,2,2,2,2,2,2,1,2,3,1,2,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3
860,MET20_1227508,0.9770802775,2,4,3,3,4,2,2,2,2,3,2,3,3,2,3,2,1,1,3,1,2,3,2,2,2,2,2,2,1,1,2,2,2,2,2,1,2,0
861,MET20_1188494,1.0239963436,4,4,4,4,4,3,3,4,2,4,3,4,4,4,4,4,2,2,3,3,2,3,3,2,3,2,3,3,2,2,3,3,3,3,3,3,3,2
862,MET20_1096879,1.0946952712,2,3,3,3,3,1,1,2,3,2,1,4,4,2,2,3,2,2,2,2,2,4,2,2,1,2,1,2,1,1,1,1,2,1,2,2,1,0
863,MET20_447021,1.012416781,3,3,3,2,2,2,2,2,2,1,1,3,2,2,3,3,2,2,2,2,2,4,3,2,2,2,2,2,1,2,2,2,2,2,2,1,1,0
864,MET20_275463,0.9643085747,2,3,2,3,3,2,3,2,2,2,2,2,2,2,2,3,2,2,3,2,2,3,2,3,2,2,2,3,2,2,2,2,2,2,2,2,3,0
865,MET20_1220206,0.961473076,1,2,1,2,3,1,2,2,2,1,1,2,3,1,2,3,1,1,2,1,1,3,2,2,1,1,1,2,1,2,1,1,2,1,1,1,2,3
866,MET20_80001804,1.179990801,2,2,3,2,3,2,4,3,2,3,2,2,2,2,3,2,2,1,4,2,2,3,2,4,2,2,2,2,2,2,2,2,2,2,2,2,2,0
867,MET20_7005387,0.930184251,2,2,2,2,3,3,2,2,2,2,2,3,2,2,2,3,2,1,4,2,2,4,2,4,2,2,2,2,2,2,2,3,3,2,2,2,2,0
868,MET20_1878770,1.161725334,3,2,3,1,2,2,3,2,3,2,2,3,2,2,2,3,2,2,1,2,2,1,2,2,2,1,2,2,2,1,3,1,3,1,3,3,2,0
869,MET20_1389448,0.930184251,2,4,4,3,4,2,3,3,4,3,2,4,4,3,2,3,2,2,2,3,2,3,4,2,1,1,2,3,1,1,1,3,3,3,3,3,2,1
870,MET20_1312101,0.9965400009,2,2,2,2,2,2,2,2,2,2,3,2,3,2,2,3,2,2,3,3,2,2,2,3,2,2,2,2,3,2,2,2,2,2,2,2,2,0
871,MET20_760613,0.9612750925,2,2,2,2,2,1,2,3,2,2,2,3,2,2,2,2,2,2,3,3,2,3,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,0
872,MET20_1008734,0.7980860057,2,3,2,2,2,2,1,2,1,2,1,3,4,2,2,3,1,2,2,1,1,3,3,3,2,2,2,3,1,3,1,2,1,2,2,1,2,0
873,MET20_7002928,0.9847421628,2,1,2,2,2,2,1,1,2,2,2,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0
874,MET20_790700,0.9965400009,3,3,3,3,3,2,4,3,2,3,1,3,4,3,3,4,2,2,3,2,2,2,3,4,3,2,3,2,2,2,3,3,3,2,3,3,4,1
875,MET20_1428915,0.930184251,1,1,1,1,4,3,2,1,1,1,1,2,1,1,1,3,1,1,3,2,1,3,1,2,2,2,1,3,1,1,1,2,2,1,2,1,2,3
876,MET20_1883481,1.1435070883,3,2,3,2,1,2,1,2,2,2,2,4,3,2,3,1,2,4,2,2,1,4,4,1,1,1,1,1,2,1,1,2,2,1,2,1,2,0
877,MET20_1193477,1.3948718613,2,2,3,4,3,2,2,2,2,1,2,3,4,2,2,2,1,2,2,2,2,2,2,3,2,2,2,1,2,2,2,2,2,2,2,2,2,0
878,MET20_71458,0.9965400009,2,3,3,3,3,2,3,3,3,3,2,2,3,3,3,3,2,2,2,3,2,2,3,3,2,3,3,2,3,2,3,3,3,3,3,3,3,1
879,MET20_1679269,0.6947629021,2,3,2,2,3,2,2,2,2,3,2,3,3,1,2,3,1,2,2,3,2,3,3,2,2,3,2,2,2,2,2,3,3,2,3,2,2,0
880,MET20_1029474,0.8528399828,3,2,3,2,1,3,2,3,2,3,4,3,3,2,3,1,1,1,1,1,2,2,3,2,2,1,2,2,2,1,2,1,1,2,2,1,2,0
881,MET20_7010084,1.012416781,3,4,4,3,4,1,4,4,2,2,1,4,4,4,3,3,2,3,2,3,2,3,2,3,2,2,2,3,2,2,3,2,3,3,3,2,2,1
882,MET20_834566,1.179990801,1,1,1,2,3,1,1,1,2,1,1,2,2,1,2,2,1,2,3,2,1,4,1,3,2,2,1,3,2,2,2,2,3,2,2,2,2,3
883,MET20_1869100,0.8247615439,1,3,3,3,3,1,1,1,1,1,1,2,4,1,1,2,1,3,2,1,1,3,2,1,2,2,1,2,1,1,1,1,2,1,2,1,1,3
884,MET20_1099187,0.8247615439,2,2,3,3,2,2,4,3,1,3,2,4,3,1,2,4,2,2,3,2,2,3,2,3,2,2,2,2,2,2,2,2,2,2,3,2,2,1
885,MET20_211797,1.012416781,2,2,3,2,2,1,1,2,2,2,1,2,3,1,2,3,1,2,2,1,1,3,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,3
886,MET20_1145618,0.62815034,3,2,3,4,4,2,3,3,4,2,2,2,4,1,3,3,3,2,3,2,1,3,2,3,1,2,1,2,1,1,3,1,2,3,3,3,3,1
887,MET20_186842,0.6228209308,2,3,3,2,3,2,2,3,2,3,2,3,3,2,2,3,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0
888,MET20_1044135,1.012416781,2,2,2,1,3,1,3,2,1,2,2,2,2,2,2,2,2,2,3,2,1,3,3,3,2,2,2,3,2,2,1,2,3,2,2,2,3,0
889,MET20_733578,1.0176565692,2,2,2,2,2,3,2,2,2,2,1,3,1,1,2,2,2,1,3,2,1,3,2,1,2,1,1,1,1,2,2,2,2,1,1,2,2,3
890,MET20_7006058,0.7397234366,2,2,2,1,2,1,1,2,1,2,1,3,2,1,2,1,1,1,2,1,1,3,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,3
891,MET20_1166077,0.8422381464,2,3,2,3,2,3,2,3,1,2,2,3,2,2,2,2,1,1,3,2,2,3,2,2,2,1,2,1,1,2,1,1,1,2,1,1,2,3
892,MET20_315632,0.7397234366,2,3,3,3,3,2,4,2,2,3,3,3,2,2,1,3,2,1,3,1,2,3,2,4,2,2,2,2,2,2,2,2,2,2,2,2,2,0
893,MET20_7008112,0.9306511977,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3
894,MET20_7000324,1.0396114026,3,4,4,4,3,2,3,4,3,4,4,4,4,2,3,4,2,2,3,3,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,1
895,MET20_1699424,1.0946952712,3,3,3,3,3,4,3,3,1,3,3,3,4,3,3,3,2,1,3,2,2,2,2,2,3,2,3,2,2,2,2,3,3,2,2,2,2,1
896,MET20_1239925,0.961473076,3,3,3,2,4,2,4,2,3,4,2,3,3,2,2,3,2,2,3,3,3,3,3,4,2,2,2,2,2,2,2,2,3,3,3,2,2,1
897,MET20_1515968,1.0946952712,2,3,3,3,4,2,4,4,4,2,2,4,4,1,2,2,2,1,4,2,2,2,2,4,2,2,2,1,2,1,3,2,4,2,4,4,3,1
898,MET20_456740,0.5345827213,2,4,4,4,2,3,3,4,3,4,2,4,4,4,3,4,1,2,4,3,2,3,2,4,2,2,2,3,2,2,2,3,3,3,3,3,3,1
899,MET20_206583,0.8247615439,1,3,3,2,3,3,2,2,2,2,3,2,3,2,1,3,2,3,2,1,2,2,1,3,2,2,2,2,2,2,2,2,2,2,2,2,2,0
900,MET20_1089758,0.8967423191,1,3,3,3,3,2,1,3,3,2,2,3,3,3,2,2,1,1,2,1,2,3,2,1,1,2,2,2,1,2,1,2,2,2,2,2,2,0
901,MET20_80005835,0.6327436544,2,3,3,3,4,3,4,2,2,3,1,2,3,2,1,2,1,2,3,1,1,4,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,3
902,MET20_1202162,0.62815034,2,1,2,2,3,3,2,2,1,2,2,3,2,2,2,2,3,2,3,2,2,3,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0
903,MET20_1099287,0.8247615439,2,2,2,2,3,1,1,2,1,3,1,2,1,1,2,2,1,1,2,1,1,3,2,1,2,1,1,1,1,1,1,1,2,1,2,1,1,3
904,MET20_1860000,1.0564869918,1,2,2,2,3,2,3,2,2,2,2,2,3,2,2,3,1,1,3,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3
905,MET20_1035330,1.179990801,2,2,3,3,1,2,4,3,1,3,3,3,3,1,4,3,1,1,4,3,2,2,2,3,3,2,3,2,2,3,2,2,3,2,3,1,2,1
906,MET20_1614803,0.9765900354,2,3,4,2,3,1,1,2,3,4,1,4,2,1,2,1,1,1,1,2,2,3,2,1,2,2,1,2,1,2,1,2,2,1,1,2,1,3
907,MET20_7000303,0.7631943152,3,3,3,3,3,2,3,3,3,3,3,3,4,2,3,4,2,2,2,2,2,3,3,3,2,2,3,3,3,2,3,3,3,3,3,3,3,1
908,MET20_7000269,0.8266621217,3,3,4,3,2,1,1,3,2,3,2,3,3,2,3,3,1,2,1,2,1,2,3,1,3,1,1,3,2,1,1,2,2,2,3,1,1,0
909,MET20_1457823,1.6081719674,2,1,3,3,3,2,2,2,3,2,2,2,3,3,4,2,2,1,2,2,3,3,2,1,2,3,2,1,3,3,2,2,2,2,3,2,2,0
910,MET20_80000123,0.8556566041,2,2,3,2,3,2,3,3,2,3,2,3,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,3,2,0
911,MET20_406661,0.6947629021,3,3,3,3,3,3,2,3,3,3,2,3,3,2,3,3,2,2,3,2,2,3,2,3,2,2,2,3,2,2,2,2,2,2,2,2,2,1
912,MET20_1525199,3.4071702957,3,3,3,3,3,3,3,4,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2
913,MET20_7003906,1.7253779234,2,2,2,2,2,1,1,1,2,2,2,2,2,2,1,2,3,2,3,3,2,4,2,3,1,2,2,2,2,1,1,2,2,2,2,2,2,0
914,MET20_1007793,0.4424340921,2,2,2,2,2,2,2,3,2,2,2,2,3,2,2,3,2,2,3,2,2,3,2,3,2,2,2,2,1,2,2,2,2,2,2,2,3,0
915,MET20_624926,1.0396114026,2,3,2,3,4,2,3,3,3,3,2,3,4,2,3,3,2,1,2,2,2,3,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0
916,MET20_7002963,1.0176565692,2,2,2,1,3,2,2,3,1,3,2,3,4,2,2,1,1,1,2,1,2,3,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,3
917,MET20_13186,0.9965400009,1,2,1,1,3,1,1,1,1,2,1,2,2,1,1,1,1,2,2,1,1,4,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,3
918,MET20_1063911,0.5524508228,2,4,3,3,1,1,3,3,2,3,3,2,3,2,3,4,1,2,3,2,2,2,3,3,3,3,2,2,3,1,2,3,2,3,2,1,2,1
919,MET20_80004345,0.5022567684,2,2,2,2,2,2,3,2,2,2,2,3,2,2,3,2,2,2,2,2,2,3,2,2,1,1,1,1,1,1,1,1,2,1,1,1,1,3
920,MET20_1130099,0.7397234366,3,4,4,4,3,2,2,4,4,4,4,2,4,2,4,4,2,1,2,2,1,2,2,1,2,2,2,2,2,2,2,3,2,2,2,2,2,1
921,MET20_7000893,1.0946952712,2,4,2,2,2,2,2,2,2,3,2,3,3,3,2,4,2,2,2,2,2,3,2,3,2,2,3,3,2,3,2,2,3,2,3,2,2,1
922,MET20_1027395,0.9770802775,2,4,4,3,2,2,2,3,2,3,1,3,4,2,3,3,2,2,4,2,2,3,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,1
923,MET20_7003358,0.4424340921,1,4,4,2,4,1,4,1,2,1,3,3,4,1,1,2,1,1,4,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,3
924,MET20_1155857,1.3309635272,2,3,2,2,4,3,4,2,4,3,3,3,2,2,1,2,2,1,2,2,3,3,2,3,2,2,3,1,3,1,3,2,2,3,2,2,3,0
925,MET20_1182273,0.8149973567,4,4,4,4,2,2,4,4,3,4,4,4,4,4,4,4,2,2,2,2,2,3,4,1,3,4,3,3,4,4,3,3,4,4,4,4,4,2
926,MET20_7007276,1.1614861152,2,3,3,2,3,2,2,2,2,3,3,3,3,2,2,2,2,2,3,3,2,2,2,2,2,3,2,3,2,2,2,2,2,2,2,2,2,0
927,MET20_7010712,0.5345827213,2,3,4,4,4,2,4,4,4,4,4,2,4,2,2,4,2,2,3,2,2,4,2,4,2,2,2,2,2,2,2,2,3,2,3,2,4,1
928,MET20_1431703,0.7980860057,2,3,3,2,3,2,3,2,2,2,2,2,3,2,2,3,2,2,3,3,2,3,2,3,2,2,2,2,2,2,2,2,2,2,2,2,3,0
929,MET20_80003418,0.6228209308,3,3,2,2,2,4,2,2,4,1,1,3,1,2,3,2,1,2,2,1,2,3,2,1,2,2,2,2,1,2,2,2,3,2,2,2,1,0
930,MET20_7004632,0.9765900354,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3
931,MET20_1225261,1.0946952712,3,4,4,4,2,3,4,4,3,4,4,4,4,4,4,4,2,2,2,3,2,2,2,4,4,4,2,2,2,2,3,3,3,4,4,4,4,2
932,MET20_1159099,0.7980860057,2,2,2,2,2,2,1,2,2,2,2,3,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,3,2,3,2,2,3,2,2,2,2,0
933,MET20_1800477,0.8247615439,2,2,2,2,1,3,1,2,1,2,2,2,3,2,2,1,1,1,2,2,2,3,1,2,2,2,1,2,1,1,1,2,2,1,2,1,2,3
934,MET20_1160088,0.598301777,2,3,4,4,3,2,2,3,4,2,1,4,4,4,2,3,2,2,2,2,2,3,3,2,2,2,2,2,1,2,2,1,3,2,3,1,2,1
935,MET20_1153423,1.0946952712,3,4,4,4,2,2,1,3,2,3,2,4,4,2,3,3,2,2,2,3,2,2,2,2,4,4,3,4,3,4,4,4,4,4,4,3,2,2
936,MET20_7006458,1.5829525191,2,3,2,3,3,2,2,3,3,2,2,3,2,2,3,3,2,2,2,2,2,3,2,2,3,2,2,2,2,2,2,2,2,2,3,3,2,0
937,MET20_160482,0.9965400009,1,3,3,3,3,2,2,2,1,3,2,2,2,2,2,2,2,2,2,2,1,3,2,2,1,1,1,1,2,3,1,2,2,2,2,2,2,0
938,MET20_52811,0.9965400009,1,2,2,2,3,2,2,2,1,1,1,2,3,1,2,4,1,1,3,1,1,3,1,2,1,1,1,2,2,2,1,2,2,1,2,2,1,3
939,MET20_367029,0.9643085747,2,3,2,2,3,2,3,2,2,2,1,3,2,1,2,2,1,2,3,2,2,3,1,3,1,1,1,1,1,1,1,2,2,1,1,3,3,3
940,MET20_1189658,0.9612750925,2,3,3,3,3,3,2,2,2,3,2,3,3,2,3,2,2,2,3,3,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0
941,MET20_7003972,0.8556566041,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0
942,MET20_1793607,0.4815472836,2,3,3,3,3,2,2,3,3,3,2,3,3,2,2,4,2,2,3,3,2,3,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,1
943,MET20_1209787,0.6791997325,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2
944,MET20_1623630,0.837901566,2,2,2,2,2,3,2,2,2,2,1,2,2,2,2,2,1,1,2,2,1,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0
945,MET20_1875172,1.0076397374,2,3,3,3,3,3,3,2,3,3,2,3,3,1,2,3,2,1,2,2,2,3,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,0
946,MET20_7003527,0.6182996491,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0
947,MET20_80002967,0.6791997325,3,3,3,4,3,2,2,3,2,2,2,4,3,3,2,2,2,2,2,2,2,3,3,3,2,2,2,3,2,2,2,2,2,2,2,2,2,1
948,MET20_1830367,0.9617576466,2,2,2,3,3,2,1,2,3,2,2,3,3,2,1,2,1,1,2,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3
949,MET20_566356,0.9643085747,4,4,4,4,4,1,4,4,2,3,4,4,4,4,3,2,3,2,2,4,3,1,3,3,2,3,3,3,3,2,3,4,3,4,4,3,3,2
950,MET20_7013683,0.9965400009,2,3,2,3,3,2,2,3,2,3,2,3,2,2,2,2,2,2,3,2,2,3,2,2,2,2,2,3,2,2,2,2,2,2,3,2,2,0
951,MET20_750860,0.6947629021,3,4,3,3,3,2,3,3,2,4,2,4,4,2,4,4,2,2,3,2,2,3,3,2,2,2,2,2,2,2,2,2,2,2,3,2,2,1
952,MET20_301358,0.6791997325,2,3,2,2,3,1,1,2,2,2,1,3,3,1,2,3,1,2,3,1,1,3,2,2,1,1,1,1,1,1,1,1,2,2,2,2,2,3
953,MET20_119603,1.0946952712,2,2,2,2,2,2,2,2,2,3,2,2,3,2,2,3,2,2,2,2,2,2,2,3,2,2,2,2,2,3,2,3,2,2,2,2,2,0
954,MET20_1313273,0.62815034,2,3,3,3,3,3,1,2,2,3,2,3,4,1,2,2,2,2,2,2,2,3,2,1,3,2,2,3,2,3,2,2,2,2,2,2,2,0
955,MET20_1204266,1.1239197817,2,4,4,4,2,2,4,3,1,3,2,4,4,2,2,2,2,1,4,3,2,4,2,4,2,2,2,4,2,2,2,2,2,2,2,2,4,1
956,MET20_80003320,1.055956908,2,3,2,2,3,1,3,2,1,2,2,3,2,1,2,1,1,1,2,2,2,2,2,3,2,2,1,2,2,2,2,2,2,2,2,2,3,0
957,MET20_1920549,1.1435070883,2,3,3,3,3,2,2,3,2,2,2,3,3,3,2,3,2,2,3,2,2,3,3,2,1,1,1,1,2,1,2,1,3,3,3,2,2,0
958,MET20_80001901,1.179990801,2,2,2,2,3,3,2,2,2,2,2,3,2,2,2,3,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0
959,MET20_837379,1.0946952712,2,2,2,2,3,3,2,2,2,2,2,2,3,2,2,3,2,2,3,2,2,3,2,1,2,2,2,3,2,2,2,2,2,1,2,2,1,0
960,MET20_1215940,0.9965400009,2,3,2,2,3,3,4,2,2,2,2,3,2,2,2,3,2,2,3,3,2,3,2,3,2,2,2,2,3,2,2,2,2,2,2,2,2,0
961,MET20_622664,1.7253779234,2,1,1,1,3,2,1,2,1,2,1,3,2,2,1,3,2,1,1,1,1,3,1,3,1,1,2,2,1,1,1,1,2,1,2,1,1,3
962,MET20_137853,1.3309635272,3,4,4,4,4,2,4,3,3,4,3,4,4,3,3,4,2,2,3,2,2,2,2,4,2,3,2,2,2,4,2,3,2,3,3,3,2,1
963,MET20_1204614,0.6228209308,1,2,1,2,1,2,2,2,2,1,3,2,2,2,2,1,1,1,2,1,1,2,2,2,1,2,1,2,1,1,1,2,2,2,2,1,2,3
964,MET20_1186688,0.9643085747,2,2,2,2,3,3,4,2,2,3,2,2,3,2,2,3,2,2,3,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,3,2,3,0
965,MET20_7006756,0.5612524165,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0
966,MET20_841108,0.930184251,3,3,3,3,3,2,3,3,2,2,2,3,3,2,2,3,2,2,3,3,2,3,3,3,2,2,2,2,3,2,3,3,3,3,3,2,3,1
967,MET20_1034192,0.9463951981,2,3,3,2,2,3,2,2,2,2,2,3,3,2,2,2,2,3,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0
968,MET20_528901,1.012416781,2,2,2,2,3,2,2,3,2,2,2,3,4,3,2,4,2,2,3,3,2,3,2,3,2,1,2,4,2,3,2,2,1,2,2,2,1,0
969,MET20_1211106,1.4391301159,2,3,3,3,3,3,2,2,3,3,2,3,3,2,3,2,2,3,2,3,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0
970,MET20_7006099,0.8528399828,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,1,2,2,2,2,2,2,2,1,2,2,2,1,2,2,2,2,2,2,2,2,0
971,MET20_1218613,1.0396114026,2,3,3,3,3,3,2,2,3,2,2,2,3,2,2,3,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,0
972,MET20_1209043,0.464506602,2,2,2,2,3,3,4,2,3,2,2,2,3,2,1,3,2,2,3,2,2,3,2,3,2,2,2,2,2,2,2,2,3,2,2,3,2,0
973,MET20_647454,0.7980860057,2,2,3,3,3,2,1,2,2,2,2,3,3,2,2,2,1,2,2,2,2,3,2,1,2,2,2,2,1,2,2,1,2,1,2,1,1,0
974,MET20_764318,0.7980860057,2,3,2,2,2,2,4,2,1,2,1,2,4,2,2,2,1,1,3,1,1,3,2,2,1,2,1,1,1,2,1,1,1,1,1,1,1,3
975,MET20_7003174,0.7058317983,3,3,1,3,3,2,2,2,1,2,2,1,2,2,3,2,2,3,3,2,2,2,4,1,2,2,2,3,1,3,2,2,2,1,3,2,2,0
976,MET20_493199,1.179990801,2,2,2,2,3,3,4,1,2,2,1,3,4,2,2,3,2,2,3,2,1,3,2,4,2,2,2,2,2,1,2,2,2,1,2,2,2,0
977,MET20_7000722,1.012416781,2,3,3,2,4,3,1,3,2,3,2,3,2,2,2,3,2,2,3,3,2,3,2,3,3,3,2,3,2,3,3,3,3,2,2,2,2,1
978,MET20_7003580,0.598301777,4,4,4,3,2,2,1,3,2,3,1,3,4,1,4,3,1,4,3,1,1,4,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3
979,MET20_7014409,0.9765900354,3,3,3,2,3,3,3,3,2,3,2,3,4,4,2,2,2,2,3,3,2,3,2,2,3,2,2,3,2,2,2,3,2,3,2,2,2,1
980,MET20_1154025,1.012416781,3,3,4,3,3,3,2,2,3,2,1,4,4,3,3,2,2,3,3,3,2,2,4,2,4,3,2,3,2,2,2,3,2,2,4,4,2,1
981,MET20_938474,0.6947629021,2,2,2,3,4,3,4,3,2,3,3,3,4,3,2,4,3,2,2,3,2,2,3,3,2,3,3,3,2,2,2,3,3,3,3,3,3,1
982,MET20_1832561,0.7397234366,3,3,3,3,3,1,2,3,2,3,2,3,2,3,3,2,2,2,1,2,2,2,3,2,2,2,2,2,2,1,2,2,2,2,3,2,1,0
983,MET20_7008954,1.0946952712,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,2,3,3,2,3,3,3,3,3,2,3,2
